"slug","title_tr","top_category_slug","mapping_confidence","decision","main_category","reason"
"service-mermerit-tezgah","Mermerit Tezgah","service-home-furniture-wood","medium","manual_review","","no_match"
"service-mermer-yer-doseme","Mermer Yer Doseme","service-construction-renovation","medium","manual_review","","no_match"
"service-motorlu-tente","Motorlu Tente","service-auto-services","medium","manual_review","","no_match"
"service-motosiklet-surus-egitimi","Motosiklet Surus Egitimi","service-education-lessons","medium","manual_review","","no_match"
"service-ofis-tadilat","Ofis Tadilat","service-construction-renovation","medium","manual_review","","no_match"
"service-okul-temizligi","Okul Temizligi","service-home-cleaning","medium","manual_review","","no_match"
"service-orumcek-ilaclama","Orumcek Ilaclama","service-home-cleaning","medium","manual_review","","no_match"
"service-oryantal-dersi","Oryantal Dersi","service-education-lessons","medium","manual_review","","no_match"
"service-oto-anahtar-kopyalama","Oto Anahtar Kopyalama","service-auto-services","medium","manual_review","","no_match"
"service-otomatik-sanziman-revizyonu","Otomatik Sanziman Revizyonu","service-auto-services","medium","manual_review","","no_match"
"service-oto-ses-ve-goruntu-sistemleri","Oto Ses Ve Goruntu Sistemleri","service-photo-video-media","medium","manual_review","","no_match"
"service-oto-taban-doseme","Oto Taban Doseme","service-construction-renovation","medium","manual_review","","no_match"
"service-paravan-yapimi","Paravan Yapimi","service-home-furniture-wood","medium","manual_review","","no_match"
"service-personel-tasima","Personel Tasima","service-moving-logistics","medium","manual_review","","no_match"
"service-peyzaj-proje","Peyzaj Proje","service-design-software-marketing","medium","manual_review","","no_match"
"service-pimapen-kapi","Pimapen Kapi","service-glass-aluminum-pvc","medium","manual_review","","no_match"
